reference source (sportsref) school_name,ncaa,espn,247,rivals
Air Force,Air Force,Air Force,Air Force,
Akron,Akron,Akron,Akron,
Alabama,Alabama,Alabama,Alabama,Alabama
Appalachian State,Appalachian St.,Appalachian St,Appalachian State,Appalachian State
Arizona State,Arizona St.,Arizona State,Arizona State,Arizona State
Arizona,Arizona,Arizona,Arizona,Arizona
Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
Arkansas State,Arkansas St.,Arkansas State,Arkansas State,Arkansas State
Army,Army West Point,Army,Army West Point,Army
Auburn,Auburn,Auburn,Auburn,Auburn
Ball State,Ball St.,Ball State,Ball State,
Baylor,Baylor,Baylor,Baylor,Baylor
Boise State,Boise St.,Boise State,Boise State,Boise State
Boston College,Boston College,Boston College,Boston College,Boston College
Bowling Green State,Bowling Green,Bowling Green,Bowling Green,
Brigham Young,,,Brigham Young,
Buffalo,Buffalo,Buffalo,Buffalo,
California,California,Cal,California,California
Central Michigan,Central Mich.,Cent Michigan,Central Michigan,Central Michigan
Charlotte,Charlotte,Charlotte,Charlotte,Charlotte
Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
Clemson,Clemson,Clemson,Clemson,Clemson
Coastal Carolina,Coastal Caro.,C. Carolina,Coastal Carolina,
Colorado,Colorado,Colorado,Colorado,Colorado
Colorado State,Colorado St.,Colorado State,Colorado State,Colorado State
Connecticut,,,Connecticut,Connecticut
Duke,Duke,Duke,Duke,Duke
East Carolina,East Carolina,East Carolina,East Carolina,East Carolina
Eastern Michigan,Eastern Mich.,E Michigan,Eastern Michigan,
Florida Atlantic,Fla. Atlantic,FAU,Florida Atlantic,Florida Atlantic
Florida,Florida,Florida,Florida,Florida
Florida International,,FIU,Florida International,
Florida State,Florida St.,Florida State,Florida State,Florida State
Fresno State,Fresno St.,Fresno State,Fresno State,Fresno State
Georgia,Georgia,Georgia,Georgia,Georgia
Georgia Southern,Ga. Southern,Ga Southern,Georgia Southern,
Georgia State,Georgia St.,Georgia State,Georgia State,
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech
Hawaii,,,,
Houston,Houston,Houston,Houston,Houston
Idaho,Idaho,,Idaho,
Illinois,Illinois,Illinois,Illinois,Illinois
Indiana,Indiana,Indiana,Indiana,Indiana
Iowa,Iowa,Iowa,Iowa,Iowa
Iowa State,Iowa St.,Iowa State,Iowa State,Iowa State
Kansas,Kansas,Kansas,Kansas,Kansas
Kansas State,Kansas St.,Kansas State,Kansas State,Kansas State
Kent State,Kent St.,Kent State,Kent State,Kent State
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
LSU,LSU,,,LSU
Louisiana,Louisiana,Louisiana,Louisiana,
Louisiana Tech,Louisiana Tech,LA Tech,Louisiana Tech,Louisiana Tech
Louisiana-Monroe,La.-Monroe,,Louisiana-Monroe,
Louisville,Louisville,Louisville,Louisville,Louisville
Marshall,Marshall,Marshall,Marshall,Marshall
Maryland,Maryland,Maryland,Maryland,Maryland
Massachusetts,Massachusetts,,Massachusetts,
Memphis,Memphis,Memphis,Memphis,Memphis
Miami (FL),Miami (FL),Miami,Miami (Fla.),
Miami (OH),Miami (OH),Miami (OH),Miami (Ohio),
Michigan State,Michigan St.,Michigan State,Michigan State,Michigan State
Michigan,Michigan,Michigan,Michigan,Michigan
Middle Tennessee State,Middle Tenn.,Mid Tennessee,Middle Tennessee,
Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
Mississippi State,Mississippi St.,Miss St,Mississippi State,Mississippi State
Missouri,Missouri,Missouri,Missouri,Missouri
Navy,Navy,Navy,Navy,Navy
Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
Nevada,Nevada,Nevada,Nevada,Nevada
New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
New Mexico State,New Mexico St.,New Mexico St,New Mexico State,New Mexico State
North Carolina State,NC State,NC State,NC State,North Carolina State
North Carolina,North Carolina,North Carolina,North Carolina,North Carolina
North Texas,North Texas,North Texas,North Texas,North Texas
Northern Illinois,Northern Ill.,N Illinois,Northern Illinois,
Northwestern,Northwestern,Northwestern,Northwestern,Northwestern
Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame
Ohio,Ohio,Ohio,Ohio,
Ohio State,Ohio St.,Ohio State,Ohio State,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
Oklahoma State,Oklahoma St.,Oklahoma State,Oklahoma State,Oklahoma State
Old Dominion,Old Dominion,Old Dominion,Old Dominion,
Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss
Oregon,Oregon,Oregon,Oregon,Oregon
Oregon State,Oregon St.,Oregon State,Oregon State,Oregon State
Penn State,Penn St.,Penn State,Penn State,Penn State
Pitt,Pittsburgh,Pitt,Pittsburgh,
Purdue,Purdue,Purdue,Purdue,Purdue
Rice,Rice,Rice,Rice,Rice
Rutgers,Rutgers,Rutgers,Rutgers,Rutgers
SMU,SMU,SMU,,SMU
San Diego State,San Diego St.,San Diego State,San Diego State,
San Jose State,San Jose St.,San Jose State,San Jose State,
South Alabama,South Alabama,South Alabama,South Alabama,
South Carolina,South Carolina,South Carolina,South Carolina,South Carolina
South Florida,South Fla.,USF,South Florida,
Southern Mississippi,Southern Miss.,Southern Miss,Southern Mississippi,
Stanford,Stanford,Stanford,Stanford,Stanford
Syracuse,Syracuse,Syracuse,Syracuse,Syracuse
Temple,Temple,Temple,Temple,Temple
Tennessee,Tennessee,Tennessee,Tennessee,Tennessee
Texas A&M,Texas A&M,Texas A&M,Texas A&M,
Texas Christian,,,,
Texas,Texas,Texas,Texas,Texas
Texas State,Texas St.,Texas State,Texas State,Texas State
Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech
Toledo,Toledo,Toledo,Toledo,Toledo
Troy,Troy,Troy,Troy,Troy
Tulane,Tulane,Tulane,Tulane,Tulane
Tulsa,Tulsa,Tulsa,Tulsa,Tulsa
UAB,UAB,UAB,UAB,UAB
UCF,UCF,UCF,UCF,UCF
UCLA,UCLA,UCLA,UCLA,UCLA
Nevada-Las Vegas,UNLV,UNLV,UNLV,
USC,,USC,,USC
UTEP,UTEP,UTEP,,UTEP
UTSA,UTSA,UTSA,UTSA,UTSA
Utah State,Utah St.,Utah State,Utah State,
Utah,Utah,Utah,Utah,Utah
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
Virginia,Virginia,Virginia,Virginia,Virginia
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech
Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest
Washington,Washington,Washington,Washington,Washington
Washington State,Washington St.,Washington St,Washington State,Washington State
West Virginia,West Virginia,West Virginia,West Virginia,West Virginia
Western Kentucky,Western Ky.,W Kentucky,Western Kentucky,Western Kentucky
Western Michigan,Western Mich.,W Michigan,Western Michigan,Western Michigan
Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
Wyoming,Wyoming,Wyoming,Wyoming,Wyoming
